時系列番号,前後不一致箇所,レアケース,エラー箇所,出現回数,ペイロードid,元ペイロード,,,
81,0,0,0,12,48,  verbose 1 ci SDK Product104EventQueue Create line,,,
82,0,0,0,12,49,  verbose 1 ci SDK Product104EventQueue Create Product104NoError line,,,
83,0,0,0,7,50,  verbose 1 ci SDK Product104PL SetEventQueue pqueue line,,,
84,0,0,0,7,51,  verbose 1 ci SDK Product104PL SetEventQueue Product104NoError line,,,
85,0,0,0,93,41,  verbose 1 ci SDK Product104PL instances line,,,
86,0,0,0,49,42,  verbose 1 ci SDK Product104PL Create line,,,
87,0,0,0,123,43,  verbose 1 ci NmeApp Create Product101 R5 16 1 84 0 May,,,
88,0,0,0,57,44,  verbose 1 ci NmeApp NMECTL SET LOCAL OPTIONS,,,
89,0,0,0,2059,54,  verbose 1 ci SDK Product104EventQueue Read line,,,
90,0,0,0,2059,54,  verbose 1 ci SDK Product104EventQueue Read line,,,
91,0,0,0,57,45,  verbose 1 ci NmeApp NMECTL GET OPTIONS INTERFACE,,,
92,0,0,0,49,46,  verbose 1 ci SDK Product104PL Create Product104NoError line,,,
93,0,0,0,12,47,  verbose 1 ci SDK Product104CreateEventQueue pp line,,,
94,0,0,0,12,48,  verbose 1 ci SDK Product104EventQueue Create line,,,
95,0,0,0,12,49,  verbose 1 ci SDK Product104EventQueue Create Product104NoError line,,,
96,0,0,0,7,50,  verbose 1 ci SDK Product104PL SetEventQueue pqueue line,,,
97,0,0,0,7,51,  verbose 1 ci SDK Product104PL SetEventQueue Product104NoError line,,,
98,0,0,0,1,55,  verbose 1 initObservePlayerEv Player,,,
99,0,0,0,12,47,  verbose 1 ci SDK Product104CreateEventQueue pp line,,,
100,0,0,0,12,48,  verbose 1 ci SDK Product104EventQueue Create line,,,
101,0,0,0,12,49,  verbose 1 ci SDK Product104EventQueue Create Product104NoError line,,,
102,0,0,0,1,56,  verbose 1 ci Product104Config Delete,,,
103,1,0,0,114,57,  verbose 1 ci NmeApp NMECTL EXIT,,,
104,1,-2,0,1,58,  verbose 1 loadModules player initialize,,,
105,1,-2,0,1,59,  verbose 1 connectToMediaPlaye,,,
106,1,-3,0,1,60,  verbose 1 loadModules loadModules end,,,
107,1,-2,0,39,5,  verbose 4 M,,,
108,0,0,0,3,6,  verbose 4 r M,,,
109,0,0,0,39,5,  verbose 4 M,,,
110,0,0,0,3,6,  verbose 4 r M,,,
111,0,0,0,1,61,  verbose 1 setCodingCountry m CodingCountry,,,
112,1,-2,0,1,62,  verbose 1 initialize,,,
113,1,-2,0,2059,54,  verbose 1 ci SDK Product104EventQueue Read line,,,
114,1,-2,0,1,63,  verbose 1 main Set sd notify ready,,,
115,1,-2,0,1,64,  verbose 1 VMostServices warning SVC DeviceIsInactive,,,
116,1,-2,0,2059,54,  verbose 1 ci SDK Product104EventQueue Read line,,,
117,1,-2,0,1,65,  verbose 1 Offset,,,
118,1,-2,0,1,66,  verbose 1 main Starting main glib loop,,,
119,1,-2,0,2059,54,  verbose 1 ci SDK Product104EventQueue Read line,,,
120,1,-2,0,1,67,  verbose 1 onAuxInBT ActivateS,,,
121,1,-2,0,1,68,  verbose 1 OnDeviceActivationC fblock active,,,
122,1,-2,0,7,69,  verbose 1 statusCurrentLangua,,,
123,1,-2,0,1,70,  verbose 1 setStatus empty,,,
124,0,0,0,1816,71,  verbose 1 ci SDK Product104EventQueue Read Product104ErrorTimeout line,,,
125,0,0,0,2059,54,  verbose 1 ci SDK Product104EventQueue Read line,,,
126,0,0,0,1816,71,  verbose 1 ci SDK Product104EventQueue Read Product104ErrorTimeout line,,,
127,0,0,0,2059,54,  verbose 1 ci SDK Product104EventQueue Read line,,,
128,0,0,0,1816,71,  verbose 1 ci SDK Product104EventQueue Read Product104ErrorTimeout line,,,
129,0,0,0,2059,54,  verbose 1 ci SDK Product104EventQueue Read line,,,
130,0,0,0,1816,71,  verbose 1 ci SDK Product104EventQueue Read Product104ErrorTimeout line,,,
131,0,0,0,2059,54,  verbose 1 ci SDK Product104EventQueue Read line,,,
132,0,0,0,1816,71,  verbose 1 ci SDK Product104EventQueue Read Product104ErrorTimeout line,,,
133,0,0,0,2059,54,  verbose 1 ci SDK Product104EventQueue Read line,,,
134,1,0,0,5,72,  verbose 1 on device attached dev num,,,
135,0,0,0,1,73,  verbose 1 on device attached attached on bus,,,
136,0,0,0,1816,71,  verbose 1 ci SDK Product104EventQueue Read Product104ErrorTimeout line,,,
137,0,0,0,2059,54,  verbose 1 ci SDK Product104EventQueue Read line,,,
138,0,0,0,1816,71,  verbose 1 ci SDK Product104EventQueue Read Product104ErrorTimeout line,,,
139,0,0,0,2059,54,  verbose 1 ci SDK Product104EventQueue Read line,,,
140,0,0,0,1816,71,  verbose 1 ci SDK Product104EventQueue Read Product104ErrorTimeout line,,,
141,0,0,0,2059,54,  verbose 1 ci SDK Product104EventQueue Read line,,,
142,0,0,0,1816,71,  verbose 1 ci SDK Product104EventQueue Read Product104ErrorTimeout line,,,
143,0,0,0,2059,54,  verbose 1 ci SDK Product104EventQueue Read line,,,
144,0,0,0,1816,71,  verbose 1 ci SDK Product104EventQueue Read Product104ErrorTimeout line,,,
145,0,0,0,2059,54,  verbose 1 ci SDK Product104EventQueue Read line,,,
146,0,0,0,1816,71,  verbose 1 ci SDK Product104EventQueue Read Product104ErrorTimeout line,,,
147,0,0,0,2059,54,  verbose 1 ci SDK Product104EventQueue Read line,,,
148,0,0,0,1816,71,  verbose 1 ci SDK Product104EventQueue Read Product104ErrorTimeout line,,,
149,0,0,0,2059,54,  verbose 1 ci SDK Product104EventQueue Read line,,,
150,0,0,0,1816,71,  verbose 1 ci SDK Product104EventQueue Read Product104ErrorTimeout line,,,
